Идентификатор,Комнатность,Новостройка,Метро/Район,Время до метро,Улица,Дом,Этаж,Площадь общая,Площадь жилая,Площадь кухни,Цена в руб.,Цена в долл.,Цена в евро,Источник получения,Дата объявления,Контакты,На сайте,Описание
24031894,6/6,Нет,Чистые пруды,5п,Милютинский пер,11,3/6,143.00,105.00,15.00,34 000 000,992 410,732 838,ИНКОМ-Недвижимость,25.01.2014 12:20:45,"Тел.: +7(495)363-18-18, mailto:mk_tr@incom.ru",http://www.incom.ru/sale-realty/flats/lot/?L=вт-0252572&ir=bazaincom,"Квартира 6-комн., общ.пл.-143.00, жил.пл.-105.00, кухня-15.00, метро или район:Чистые пруды, 5 мин. п, адрес:Москва, Милютинский пер, 11, этаж/этажность -3/6, балкон:Б, санузел-разд., Лот: вт-0252572, Исторический дом Маяковского и Бриков, ж/б перекрытия, потолок 3,5 метра, новый лифт, балкон, парковка, интернет, на площадке 2 кв-ры, свободная продажа, отремонтированный фасад дома, пешком м.Лубянка и Кузнецкий мост, возможен обмен на вашу кв-ру, 8-916-152-55-42 Содействие в получении специал ..."
24042776,3,Нет,Охотный Ряд,,"Тверская ул, д. 6",,5/8,71,41,8,34 000 000,966 458,713 673,Н&Ц,31.01.2014 4:35:10,"Тел.: 8-495-775-3001, 8-495-983-0260, http://www.greatr.ru",,"#9860 Квартира 3-комн., общ.пл.-71, жил.пл.-41, кухня-8, метро или район:Охотный Ряд, адрес:Москва, Тверская ул, д. 6, , этаж/этажность -5/8, h=3.3 м. Большой холл. Окна вых. на две стороны. Балкон. Лоджия. Закрытый благоустроенный двор., Цена:34 млн. руб.Подъезд после ремонт"
24052442,3/3,Нет,Чистые пруды,10п,Покровка,38,5/6,88.10,55.40,12.00,34 500 000,1 007 005,743 615,ИНКОМ-Недвижимость,01.02.2014 12:20:45,"Тел.: +7(495)363-18-18, mailto:mk_tr@incom.ru",http://www.incom.ru/sale-realty/flats/lot/?L=вт-0253340&ir=bazaincom,"Квартира 3-комн., общ.пл.-88.10, жил.пл.-55.40, кухня-12.00, метро или район:Чистые пруды, 10 мин. п, адрес:Москва, Покровка, 38/1, этаж/этажность -5/6, телефон-ЕСТЬ, санузел-разд., Лот: вт-0253340, Дом кирпичный с колонами, потолки 3,4м, комнаты изолированные, перекрытия ж/б, красивый, чистый подъезд, закрытая парковка, соседи - известные люди, личности в актерской среде, состояние квартиры хорошее, 8-909-665-20-35, Цена:34.5 млн. руб.|1.007005 млн.$|743.615 тыс. евро"
24043142,5,Нет,Чистые пруды,,"Армянский пер., д. 1/8",,3/4,120,80,12,34 800 000,989 198,730 466,Н&Ц,31.01.2014 4:35:10,"Тел.: 8-495-782-6120, 778-7376, http://www.nbrealty.ru",,"Квартира 5-комн., общ.пл.-120, жил.пл.-80, кухня-12, метро или район:Чистые пруды, адрес:Москва, Армянский пер., д. 1/8, , этаж/этажность -3/4, с эркером, потолки 4м, окна на обе стороны, 3 с/у, черный ход, требует ремонта, подъезд отреставрир., Цена:34.8 млн. руб."
22345518,1/1,Да,Маяковская,,Большая Садовая,5,8/12,"62,76",,,34 832 000,990 108,731 138,Усадьба (Миэль),25.06.2013 5:50:12,"Тел.: (495) 777-07-70, http://usadba.ru",http://usadba.ru/city_sale/apartment/patriarshie/7353.html,"Квартира 1-комн., общ.пл.-62,76, жил.пл.-?, кухня-?, метро или район:Маяковская, адрес:Москва, Большая Садовая, 5/1, этаж/этажность -8/12, новостройка, Предлагается 1-комнатная квартира 62,76 кв.м. в элитном квартале «Сады Пекина». Новый элитный квартал представляет собой два двенадцатиэтажных жилых корпуса, соединенных подземными переходами с отелем Пекин в непосредственной близости от Триумфальной площади. В комплексе «Сады Пекина» запроектированы самые современные инженерные системы комфо ..."
22150012,4/4,Нет,Чистые пруды,10п,Сергиевский Б. пер,11,4/6,116.00,80.00,12.00,35 000 000,1 021 599,754 392,ИНКОМ-Недвижимость,04.06.2013 12:35:47,"Тел.: +7(495)363-16-15, mailto:rent_nc@incom.ru",http://www.incom.ru/sale-realty/flats/lot/?L=вт-0194064&ir=bazaincom,"Квартира 4-комн., общ.пл.-116.00, жил.пл.-80.00, кухня-12.00, метро или район:Чистые пруды, 10 мин. п, адрес:Москва, Сергиевский Б. пер, 11/1, этаж/этажность -4/6, балкон:Б, телефон-ЕСТЬ, санузел-2 с/у, Лот: вт-0194064, отреставрированный особняк, авторский дизайн, архитектурный надзор, гардеробная, кухонный гарнитур, полы с подогревом, свободная продажа, Цена:35 млн. руб.|1.021599 млн.$|754.392 тыс. евро"
21831509,5/5,Нет,Смоленская,2п,Карманицкий пер,3а,1/4,122.00,76.00,9.00,35 000 000,1 021 599,754 392,ИНКОМ-Недвижимость,30.04.2013 12:35:43,"Тел.: +7(495)363-01-71, mailto:mk_zl@incom.ru",http://www.incom.ru/sale-realty/flats/lot/?L=вт-0233016&ir=bazaincom,"Квартира 5-комн., общ.пл.-122.00, жил.пл.-76.00, кухня-9.00, метро или район:Смоленская, 2 мин. п, адрес:Москва, Карманицкий пер, 3а/1, этаж/этажность -1/4, телефон-ЕСТЬ, санузел-разд., Лот: вт-0233016, продается 5 комн. квартира в районе Старого Арбата, бельэтаж (высокий первый этаж), имеется гардеробная комната, дом в заповедной зоне Арбата, окна выходят на две стороны. возможен перевод в нежилой фонд, один собственник, в собственности более 3-х лет, Цена:35 млн. руб.|1.021599 млн.$|754.39 ..."
23913058,5/5,Нет,Александровский сад,10п,Мира пр-кт,103,6/10,160.00,90.00,16.00,35 000 000,1 021 599,754 392,ИНКОМ-Недвижимость,26.12.2013 12:20:49,"Тел.: +7(495)363-04-24, mailto:mk_zp@incom.ru",http://www.incom.ru/sale-realty/flats/lot/?L=вт-0251091&ir=bazaincom,"Квартира 5-комн., общ.пл.-160.00, жил.пл.-90.00, кухня-16.00, метро или район:Александровский сад, 10 мин. п, адрес:Москва, Мира пр-кт, 103, этаж/этажность -6/10, балкон:2Б, телефон-ЕСТЬ, санузел-2 с/у, Лот: вт-0251091, добротный сталинский дом с отличным ремонтом, объеденены 2 кв-ры, 2 с/у, 2 балкона, огромная кухня, великолепный деревянный потолок, ДКП более 3-х лет, 1 собственник, ТОРГ, Цена:35 млн. руб.|1.021599 млн.$|754.392 тыс. евро"
23723904,7/7,Нет,Китай-город,1п,Маросейка,9/13/2,4/4,192.50,133.50,17.50,35 000 000,1 021 599,754 392,ИНКОМ-Недвижимость,21.11.2013 12:36:12,"Тел.: +7(495)363-18-18, mailto:mk_tr@incom.ru",http://www.incom.ru/sale-realty/flats/lot/?L=вт-0248754&ir=bazaincom,"Квартира 7-комн., общ.пл.-192.50, жил.пл.-133.50, кухня-17.50, метро или район:Китай-город, 1 мин. п, адрес:Москва, Маросейка, 9/13/2/7, этаж/этажность -4/4, телефон-ЕСТЬ, санузел-разд., Лот: вт-0248754, Высокие потолки 3,6 м, Две квартиры на площадке, перспектива присоединения чердака, устройства мансарды и камина. 8-916-175-59-06 Содействие в получении специальных условий и преференций по ипотеке., Цена:35 млн. руб.|1.021599 млн.$|754.392 тыс. евро"
22663882,4/4,Нет,Чистые пруды,5п,Просвирин пер,15,4/5,92.00,65.00,9.00,35 000 000,1 021 599,754 392,ИНКОМ-Недвижимость,26.07.2013 12:50:42,"Тел.: +7(495)363-04-33, mailto:mk_kr@incom.ru",http://www.incom.ru/sale-realty/flats/lot/?L=вт-0236094&ir=bazaincom,"Квартира 4-комн., общ.пл.-92.00, жил.пл.-65.00, кухня-9.00, метро или район:Чистые пруды, 5 мин. п, адрес:Москва, Просвирин пер, 15, этаж/этажность -4/5, балкон:Б, телефон-ЕСТЬ, санузел-разд., Лот: вт-0236094, в квартире дизайнерский ремонт, потолки 3,8 м., два с/узла, в доме лифт, ж/б перекрытия, старинный дом после полной реконструкции, в закрытом дворе есть м/м Содействие в получении специальных условий и преференций по ипотеке., Цена:35 млн. руб.|1.021599 млн.$|754.392 тыс. евро"
23784986,1/1,Да,Новокузнецкая,,Садовническая,57,5/7,"68,8",,,35 088 000,997 384,736 511,Усадьба (Миэль),30.11.2013 5:20:16,"Тел.: (495) 777-07-70, http://usadba.ru",http://usadba.ru/city_sale/apartment/zamoskvoreche/7208.html,"Квартира 1-комн., общ.пл.-68,8, жил.пл.-?, кухня-?, метро или район:Новокузнецкая, адрес:Москва, Садовническая, 57/1, этаж/этажность -5/7, новостройка, Квартира 68,8 кв.м. свободной планировки в ЖК «Wine House». Жилой комплекс «Wine House» расположен в Замоскворечье на территории московского завода шампанских вин «Корнет». Это один из старейших районов Москвы, обладает яркой историко-культурной и градостроительной спецификой: здесь расположено большое количество памятников архитектуры и дост ..."
23044668,3/3,Нет,Новокузнецкая,5п,Садовническая,18,3/5,82,51.7,14,35 180 000,1 000 000,738 442,"ООО ""ЛюксДом""",11.09.2013 15:20:06,"Тел.: 231-4400, http://www.luxdom.ru, mailto:info@luxdom.ru",http://www.luxdom.ru/object.php?objectID=EL1381&sa=buy,"Квартира 3-комн., общ.пл.-82, жил.пл.-51.7, кухня-14, метро или район:Новокузнецкая, 5 мин. п, адрес:Москва, Садовническая, 18, этаж/этажность -3/5, В квартире выполнен ремонт в современном стиле. Установлен кухонный гарнитур со всей необходимой бытовой техникой, полностью меблирована. Полностью отреставрированный особняк 1900 года постройки в историческом центре Москвы. В доме 14 квартир. Огороженная территория, въезд через шлагбаум. Парковка наземная, во дворе. Потолки 3,5 метра. В шаговой ..."
23642092,4/4,Нет,Тверская,5п,Тверская,12,3/?,100,60,14,35 180 000,1 000 000,738 442,Бест.Центр Заг.Недв.,06.11.2013 10:05:20,"Тел.: +7-903-226-10-21, http://http://www.9256601.ru/item18498.html, mailto:dom@9256601.ru",,"Квартира 4-комн., общ.пл.-100, жил.пл.-60, кухня-14, метро или район:Тверская, 5 мин. п, адрес:Москва, Тверская, 12/7, этаж/этажность -3/?, санузел-2 с/у, Лот N 18498. Крепкий теплый дом, кирпичные стены 90 см, потолки 3.6 м, кухня 14 м, все комнаты изолированные, окна большие, два санузла, один полноценный с окном, есть маленькая комната с окном типа кладовки, черный ход, двор огороженный и охраняется, парковочных мест достаточно. На площадке по две квартиры, всего в подъезде 10 квартир, со ..."
23044667,2/2,Нет,Новокузнецкая,5п,Садовническая,18,4/5,80,56.8,14,35 180 000,1 000 000,738 442,"ООО ""ЛюксДом""",11.09.2013 15:20:06,"Тел.: 231-4400, http://www.luxdom.ru, mailto:info@luxdom.ru",http://www.luxdom.ru/object.php?objectID=EL1381&sa=buy,"Квартира 2-комн., общ.пл.-80, жил.пл.-56.8, кухня-14, метро или район:Новокузнецкая, 5 мин. п, адрес:Москва, Садовническая, 18, этаж/этажность -4/5, В квартире выполнен ремонт в современном стиле. Планировка: кухня, гостиная, спальня, совмещенный санузел. Квартира полностью оборудована мебелью и техникой. Полностью отреставрированный особняк 1900 года постройки в историческом центре Москвы. В доме 14 квартир. Огороженная территория, въезд через шлагбаум. Парковка наземная, во дворе. Потолки  ..."
20513631,2/2,Нет,Пушкинская,,Богословский пер,5,1/6,80.0,,,35 245 000,1 001 847,739 807,Усадьба (Миэль),18.12.2012 9:05:19,"Тел.: (495) 777-07-70, http://usadba.ru, mailto:nat-nem4aninova@usadba.ru",http://usadba.ru/city_sale/apartment/patriarshie/5828.html,"Квартира 2-комн., общ.пл.-80.0, жил.пл.-?, кухня-?, метро или район:Пушкинская, адрес:Москва, Богословский пер, 5, этаж/этажность -1/6, 2-комнатная квартира с ремонтом в классическом стиле в доме, расположенном в тихом, зеленом, историческом центральном районе Москвы, рядом с Тверским бульваром и Пушкинской площадью., Цена:35.245 млн. руб."
23852874,9/9,Нет,Китай-город,10п,Девяткин пер,2,3/4,172.00,122.50,13.40,35 500 000,1 036 193,765 169,ИНКОМ-Недвижимость,13.12.2013 12:20:53,"Тел.: +7(495)363-04-30, mailto:mk_op@incom.ru",http://www.incom.ru/sale-realty/flats/lot/?L=вт-0242328&ir=bazaincom,"Квартира 9-комн., общ.пл.-172.00, жил.пл.-122.50, кухня-13.40, метро или район:Китай-город, 10 мин. п, адрес:Москва, Девяткин пер, 2, этаж/этажность -3/4, санузел-совм., Лот: вт-0242328, отличная квартира, изолир. комнаты, высокие потолки, раздельный с/узел, окна на обе стороны, возможен камин, отдельный вход, отличное расположение, щлагбаум, Цена:35.5 млн. руб.|1.036193 млн.$|765.169 тыс. евро"
23852875,9/9,Нет,Китай-город,10п,Девяткин пер,2,3/4,172.00,122.50,13.40,35 500 000,1 036 193,765 169,ИНКОМ-Недвижимость,13.12.2013 12:20:53,"Тел.: +7(495)363-04-30, mailto:mk_op@incom.ru",http://www.incom.ru/sale-realty/flats/lot/?L=вт-0240347&ir=bazaincom,"Квартира 9-комн., общ.пл.-172.00, жил.пл.-122.50, кухня-13.40, метро или район:Китай-город, 10 мин. п, адрес:Москва, Девяткин пер, 2, этаж/этажность -3/4, санузел-совм., Лот: вт-0240347, окна на обе стороны, возможен камин, отдельный вход, отличное расположение, щлагбаум, идеально подойдет для офисного помещения, гостиничного бизнеса, Цена:35.5 млн. руб.|1.036193 млн.$|765.169 тыс. евро"
24043410,3,Нет,Смоленская,,"Левшинский пер., д. 7",,1/7,108,47,19,35 500 000,1 009 096,745 159,Н&Ц,31.01.2014 4:35:10,"Тел.: 8-495-775-3001, 8-495-983-0260, http://www.greatr.ru",,"#9860 Квартира 3-комн., общ.пл.-108, жил.пл.-47, кухня-19, метро или район:Смоленская, адрес:Москва, Левшинский пер., д. 7, , этаж/этажность -1/7, Потолки 3.4 м. Два с/у. Гардеробная. Кухня-гостиная. Качественный ремонт. Закрытый двор., Цена:35.5 млн. руб."
22882006,5/5,Нет,Пушкинская,5п,Трехпрудный пер,10/2,2/6,88.00,56.00,9.00,36 000 000,1 050 788,775 946,ИНКОМ-Недвижимость,22.08.2013 13:50:13,"Тел.: +7(495)363-01-71, mailto:mk_zl@incom.ru",http://www.incom.ru/sale-realty/flats/lot/?L=вт-0238537&ir=bazaincom,"Квартира 5-комн., общ.пл.-88.00, жил.пл.-56.00, кухня-9.00, метро или район:Пушкинская, 5 мин. п, адрес:Москва, Трехпрудный пер, 10/2, этаж/этажность -2/6, телефон-ЕСТЬ, санузел-разд., Лот: вт-0238537, квартира распашонка в историческом доме с уникальным фасадом в тихом переулке ""старой Москвы"" , 5 мин. пеш. до м. Пушкинская, Чеховская, Тверская, окна в зеленый сквер, потолки 3,5 м., чистый подъезд, спортивные площадки, парковочные места, очень тихо, 2 взр. собственника, полная стоимость в д ..."
24042572,4,Нет,Маяковская,3п,Тверская-Ямская 1-я,7,4/6,100,72,10.5,36 000 000,1 023 308,755 654,Н&Ц,31.01.2014 4:35:10,Тел.: 8-964-764-7670 Николай,,"Квартира 4-комн., общ.пл.-100, жил.пл.-72, кухня-10.5, метро или район:Маяковская, 3 мин. пеш., адрес:Москва, Тверская-Ямская 1-я, 7, этаж/этажность -4/6, потолки 3.1 м, окна двор+улица. Элитный дом, знаменитые соседи. Охраняемая территория., Цена:36 млн. руб."
24042953,3,Нет,Арбатская,,Арбат,30,2/5,90,47,12,36 000 000,1 023 308,755 654,Н&Ц,31.01.2014 4:35:10,"Тел.: 8-495-775-3001, 8-495-983-0260, http://www.greatr.ru",,"#9860 Квартира 3-комн., общ.пл.-90, жил.пл.-47, кухня-12, метро или район:Арбатская, адрес:Москва, Арбат, 30, этаж/этажность -2/5, Потолки 3.3 м. ЖБП. Окна на две стороны. Балкон. Закрытый двор. Парковка., Цена:36 млн. руб."
23953083,3/3,Нет,Пушкинская,3п,Тверская,14,2/4,140.00,78.00,15.00,36 000 000,1 050 788,775 946,ИНКОМ-Недвижимость,11.01.2014 12:20:24,"Тел.: +7(495)228-07-77, mailto:mk_nsl@incom.ru",http://www.incom.ru/sale-realty/flats/lot/?L=вт-0236757&ir=bazaincom,"Квартира 3-комн., общ.пл.-140.00, жил.пл.-78.00, кухня-15.00, метро или район:Пушкинская, 3 мин. п, адрес:Москва, Тверская, 14, этаж/этажность -2/4, санузел-разд., Лот: вт-0236757, дворец на Тверской, строение конец 80 -х годов 18 века, воплощение совершенства и гармонии классицизма, на 1-ом этаже дома расположен Елисеевский магазин, являющийся визитной карточкой Москвы, квартира с евроремонтом: квартира - студия 60 кв.м. + одна изолир. спальня 18 кв.м., студию возможно изолировать и разбить ..."
24043267,5,Нет,Маяковская,5п,Долгоруковская,29,5/6,,,,36 500 000,1 037 521,766 150,Н&Ц,31.01.2014 4:35:10,"Тел.: 8-495-782-5101, http://www.dobriy-dom.ru, mailto:info@dobriy-dom.ru",,"Квартира 5-комн., общ.пл.-?, жил.пл.-?, кухня-?, метро или район:Маяковская, 5 мин. пеш., адрес:Москва, Долгоруковская, 29, этаж/этажность -5/6, фасадный дом с эркерами, железобетонные перекрытия, новый лифт, парадный подъезд, шлагбаум, парковка, Цена:36.5 млн. руб."
24042638,3,Нет,Чистые пруды,10п,Машкова,16,4/6,129,75,19,36 600 000,1 040 363,768 249,Н&Ц,31.01.2014 4:35:10,"Тел.: 961-6143, 783-0131, http://www.kont.ru, mailto:pkoshelev@kont.ru",,"Квартира 3-комн., общ.пл.-129, жил.пл.-75, кухня-19, метро или район:Чистые пруды, 10 мин. пеш., адрес:Москва, Машкова, 16, этаж/этажность -4/6, Дом после кап. ремонта, охр. закрепл. м/место, хор. состоян., 2 с/узла, красив. подъезд , консъерж, Цена:36.6 млн. руб."
20759101,3/3,Нет,Цветной бульвар,5п,Печатников пер.,3,2/6,90,64.8,14,37 202 850,1 057 500,780 903,"ООО ""ЛюксДом""",17.01.2013 14:35:01,"Тел.: 231-4400, http://www.luxdom.ru, mailto:info@luxdom.ru",http://www.luxdom.ru/object.php?objectID=EL1170&sa=buy,"Квартира 3-комн., общ.пл.-90, жил.пл.-64.8, кухня-14, метро или район:Цветной бульвар, 5 мин. п, адрес:Москва, Печатников пер., 3, этаж/этажность -2/6, Новый клубный дом на 29 квартир, восстановлен в соответствии с традиционным представлениями 19-го века века о доходных домах. Дом расположен в уютном переулке между улицами Сретенка и Трубная, рядом с прогулочными скверами Цветного бульвара. Подземный паркинг. Квартира без отделки, эркер, балкон. Виды на Печатников переулок и соседнее строени ..."
23817458,4/4,Нет,Смоленская,10п,Смоленский б-р,15,6/6,150,92,18,38 000 000,1 080 159,797 635,ССР-Недвижимость,11.12.2013 5:35:10,"Тел.: (499) 131-00-90, http://www.ssrr.ru, mailto:office@ssrr.ru",http://www.ssrr.ru/list/buy_flat/3938/,"Квартира 4-комн., общ.пл.-150, жил.пл.-92, кухня-18, метро или район:Смоленская, 10 мин. п, адрес:Москва, Смоленский б-р, 15, этаж/этажность -6/6, телефон-ЕСТЬ, Продается 5-ти комнатная квартира в элитном доме , напротив МИД. Доходный дом 1913 года. постройки архитектора Ф.Н. Кольбе, после кап.ремонта с ж/б перекрытиями. Роскошная квартира с окнами во двор (на две стороны). Подъезд в отличном состоянии. Солидные соседи. Потолки 3,2 м. Документы более 3-х лет , полная стоимость в ДКП, ипотеку ..."
23817459,4/4,Нет,Арбатская,10п,Смоленский б-р,15,6/6,150,92,18,38 000 000,1 080 159,797 635,ССР-Недвижимость,11.12.2013 5:35:10,"Тел.: (499) 131-00-90, http://www.ssrr.ru, mailto:office@ssrr.ru",http://www.ssrr.ru/list/buy_flat/3940/,"Квартира 4-комн., общ.пл.-150, жил.пл.-92, кухня-18, метро или район:Арбатская, 10 мин. п, адрес:Москва, Смоленский б-р, 15, этаж/этажность -6/6, телефон-ЕСТЬ, Продается 5-ти комнатная квартира в элитном доме , напротив МИД. Доходный дом 1913 года. постройки архитектора Ф.Н. Кольбе, после кап.ремонта с ж/б перекрытиями. Роскошная квартира с окнами во двор (на две стороны). Подъезд в отличном состоянии. Солидные соседи. Потолки 3,2 м. Документы более 3-х лет , полная стоимость в ДКП, ипотеку  ..."
23854789,5/5,Нет,Арбатская,10п,Смоленский б-р,15,6/6,150,92,18,38 000 000,1 080 159,797 635,ССР-Недвижимость,14.12.2013 5:35:16,"Тел.: (499) 131-00-90, http://www.ssrr.ru, mailto:office@ssrr.ru",http://www.ssrr.ru/list/buy_flat/4016/,"Квартира 5-комн., общ.пл.-150, жил.пл.-92, кухня-18, метро или район:Арбатская, 10 мин. п, адрес:Москва, Смоленский б-р, 15, этаж/этажность -6/6, телефон-ЕСТЬ, Продается 5-ти комнатная квартира в элитном доме , напротив МИД. Доходный дом 1913 года. постройки архитектора Ф.Н. Кольбе, после кап.ремонта с ж/б перекрытиями. Роскошная квартира с окнами во двор (на две стороны). Подъезд в отличном состоянии. Солидные соседи. Потолки 3,2 м. Документы более 3-х лет , полная стоимость в ДКП, ипотеку  ..."
23854788,5/5,Нет,Смоленская,10п,Смоленский б-р,15,6/6,150,92,18,38 000 000,1 080 159,797 635,ССР-Недвижимость,14.12.2013 5:35:16,"Тел.: (499) 131-00-90, http://www.ssrr.ru, mailto:office@ssrr.ru",http://www.ssrr.ru/list/buy_flat/4015/,"Квартира 5-комн., общ.пл.-150, жил.пл.-92, кухня-18, метро или район:Смоленская, 10 мин. п, адрес:Москва, Смоленский б-р, 15, этаж/этажность -6/6, телефон-ЕСТЬ, Продается 5-ти комнатная квартира в элитном доме , напротив МИД. Доходный дом 1913 года. постройки архитектора Ф.Н. Кольбе, после кап.ремонта с ж/б перекрытиями. Роскошная квартира с окнами во двор (на две стороны). Подъезд в отличном состоянии. Солидные соседи. Потолки 3,2 м. Документы более 3-х лет , полная стоимость в ДКП, ипотеку ..."
23808666,5/5,Нет,Маяковская,3п,Тверская,30/2,6/7,130.00,78.00,13.00,38 500 000,1 123 759,829 831,ИНКОМ-Недвижимость,07.12.2013 12:20:43,"Тел.: +7(495)228-07-77, mailto:mk_nsl@incom.ru",http://www.incom.ru/sale-realty/flats/lot/?L=вт-0250107&ir=bazaincom,"Квартира 5-комн., общ.пл.-130.00, жил.пл.-78.00, кухня-13.00, метро или район:Маяковская, 3 мин. п, адрес:Москва, Тверская, 30/2/1, этаж/этажность -6/7, балкон:Б, телефон-ЕСТЬ, санузел-разд., Лот: вт-0250107, уютная 5-комн. квартира в историческом центре Москвы, в шаговой доступности от м.Маяковская (буквально 1 мин), на главной улице столицы - Тверская. Квартира в хорошем состоянии, общей площадью 126 кв.м., изолир. комнаты, удобная кухня, две отдельные телеф.линии, окна во двор, домофон, е ..."
21042240,4/4,Нет,Маяковская,10п,Зоологическая,28,10/20,101.7,63,14,38 500 000,1 094 371,808 130,"ООО ""ЛюксДом""",18.02.2013 20:20:24,"Тел.: 231-4400, http://www.luxdom.ru, mailto:info@luxdom.ru",http://www.luxdom.ru/object.php?objectID=EL1297&sa=buy,"Квартира 4-комн., общ.пл.-101.7, жил.пл.-63, кухня-14, метро или район:Маяковская, 10 мин. п, адрес:Москва, Зоологическая, 28/2, этаж/этажность -10/20, На 10 этаже в доме, что у метро Маяковская, Краснопресненская ждет своего хозяина квартира, состоящая из 4 комнат с ремонтом в классическом стиле. В квартире большая кухонная зона, 3 санузла и лоджия. Одна из комнат может трансформироваться в тренажерный зал или кабинет. Летом в центре жарко - Вам помогут 2 кондиционера. Виды во двор. Можно п ..."
23375907,4/4,Нет,Тургеневская,5п,Костянский пер,10 а,2/6,112.60,68.20,11.50,38 800 000,1 132 516,836 298,ИНКОМ-Недвижимость,12.10.2013 12:35:35,"Тел.: +7(495)363-01-71, mailto:mk_zl@incom.ru",http://www.incom.ru/sale-realty/flats/lot/?L=вт-0245477&ir=bazaincom,"Квартира 4-комн., общ.пл.-112.60, жил.пл.-68.20, кухня-11.50, метро или район:Тургеневская, 5 мин. п, адрес:Москва, Костянский пер, 10 а/1, этаж/этажность -2/6, телефон-ЕСТЬ, санузел-2 с/у, Лот: вт-0245477, лучшее предложение в районе, сталинка с ж/б перекрытиями, отличное состояние, евроремонт с эксклюзивным дубовым паркетом, полная замена всех коммуникаций современными аналогами, огромная ванная с окном, 2 с/у, в квартире имеется гардеробная - кладовая комната, пластиковые окна с металличе ..."
23375906,4/4,Нет,Чистые пруды,5п,Костянский пер,10 а,2/6,112.60,68.20,11.50,38 800 000,1 132 516,836 298,ИНКОМ-Недвижимость,12.10.2013 12:35:35,"Тел.: +7(495)363-01-71, mailto:mk_zl@incom.ru",http://www.incom.ru/sale-realty/flats/lot/?L=вт-0245289&ir=bazaincom,"Квартира 4-комн., общ.пл.-112.60, жил.пл.-68.20, кухня-11.50, метро или район:Чистые пруды, 5 мин. п, адрес:Москва, Костянский пер, 10 а/1, этаж/этажность -2/6, телефон-ЕСТЬ, санузел-2 с/у, Лот: вт-0245289, лучшее предложение в районе, сталинка с ж/б перекрытиями, отличное состояние, евроремонт с эксклюзивным дубовым паркетом, полная замена всех коммуникаций современными аналогами, огромная ванная с окном, 2 с/у, в квартире имеется гардеробная - кладовая комната, пластиковые окна с металличе ..."
24010243,4,Нет,Смоленская,10п,Большая Молчановка,30/7,4/5,130.00,55.00,,39 000 000,1 108 584,818 626,CENTURY 21,22.01.2014 6:35:11,"Тел.: +7(925)517-45-25, http://http://svek.c21russia.com/, mailto:gorohova-dom@mail.ru",,"Квартира 4-комн., общ.пл.-130.00, жил.пл.-55.00, кухня-?, метро или район:Смоленская, 10 мин. п, адрес:Москва, Большая Молчановка, 30/7/1, этаж/этажность -4/5, Предлагается к продаже 4-х комнатная квартира в историческом центре Москвы, м.Арбатская или м.Смоленская, 10 мин.пеш., ул. Большая Молчановка д.30/7, 4/5 кирпичного дома, 130 кв.м./55 кв.м./50 кв.м.Большая кухня гостиная с 4-мя окнами на две стороны со встроенной кухней и бытовой техникой, 3 спальни, большой санузел. Потолки 3,3 м. Но ..."
23970162,2/2,Нет,Цветной бульвар,5п,Печатников пер.,3,4/6,70.4,40.6,14,39 007 584,1 108 800,818 785,"ООО ""ЛюксДом""",16.01.2014 18:35:08,"Тел.: 231-4400, http://www.luxdom.ru, mailto:info@luxdom.ru",http://www.luxdom.ru/object.php?objectID=EL1170&sa=buy,"Квартира 2-комн., общ.пл.-70.4, жил.пл.-40.6, кухня-14, метро или район:Цветной бульвар, 5 мин. п, адрес:Москва, Печатников пер., 3, этаж/этажность -4/6, Новый клубный дом на 29 квартир, восстановлен в соответствии с традиционным представлениями 19-го века века о доходных домах. Дом расположен в уютном переулке между улицами Сретенка и Трубная, рядом с прогулочными скверами Цветного бульвара. Подземный паркинг. Квартира без отделки, балкон. Виды на Печатников переулок и во двор. Собственност ..."
23686759,4/4,Нет,Пушкинская,3п,Тверская,17,2/6,140.0,80.0,12.0,39 500 000,1 122 797,829 121,Ризолит на Белорус.,09.11.2013 5:35:23,"Тел.: (495) 925-8825, mailto:info@9258825.ru",http://9258825.ru/realty/viewRealtyFlat.act?realtyObjectId=1605826,"Квартира 4-комн., общ.пл.-140.0, жил.пл.-80.0, кухня-12.0, метро или район:Пушкинская, 3 мин. п, адрес:Москва, Тверская, 17, этаж/этажность -2/6, Окна на Тверскую улицу и во двор, высота потолков 3,8 м. На 1-ом этаже - кафе. Возможно перевести в нежилой фонд. Идеально под офис. Возможна ипотека. Свободная продажа. 8-903-664-49-77, Цена:39.5 млн. руб."
